"YEAR","RACE","SEX","SITE","EVENT_TYPE","COUNT","POPULATION"
"2007","Black","Male and Female","Female Breast","Incidence","22796",21142428
"2007","Black","Male and Female","Female Breast","Mortality","5798",21142428
"2008","Black","Male and Female","Female Breast","Incidence","23535",21446016
"2008","Black","Male and Female","Female Breast","Mortality","5851",21446016
"2009","Black","Male and Female","Female Breast","Incidence","24590",21744516
"2009","Black","Male and Female","Female Breast","Mortality","5850",21744516
"2010","Black","Male and Female","Female Breast","Incidence","24730",22030328
"2010","Black","Male and Female","Female Breast","Mortality","6031",22030328
"2010-2014","Black","Male and Female","Female Breast","Incidence","131161",112071233
"2010-2014","Black","Male and Female","Female Breast","Mortality","30721",112745726
"2011","Black","Male and Female","Female Breast","Incidence","25851",22158629
"2011","Black","Male and Female","Female Breast","Mortality","6192",22288313
"2012","Black","Male and Female","Female Breast","Incidence","26202",22547175
"2012","Black","Male and Female","Female Breast","Mortality","6186",22547175
"2013","Black","Male and Female","Female Breast","Incidence","27282",22804565
"2013","Black","Male and Female","Female Breast","Mortality","6086",22804565
"2014","Black","Male and Female","Female Breast","Incidence","27593",23075345
"2014","Black","Male and Female","Female Breast","Mortality","6226",23075345
"1999","Black","Male and Female","Female Genital System","Incidence","6922",18199561
"1999","Black","Male and Female","Female Genital System","Mortality","3052",18978030
"2000","Black","Male and Female","Female Genital System","Incidence","7043",18470680
"2000","Black","Male and Female","Female Genital System","Mortality","3150",19252974
"2001","Black","Male and Female","Female Genital System","Incidence","7203",18960363
"2001","Black","Male and Female","Female Genital System","Mortality","3151",19515524
"2002","Black","Male and Female","Female Genital System","Incidence","7351",19025212
"2002","Black","Male and Female","Female Genital System","Mortality","3248",19770726
"2003","Black","Male and Female","Female Genital System","Incidence","7746",20015421
"2003","Black","Male and Female","Female Genital System","Mortality","3244",20015421
"2004","Black","Male and Female","Female Genital System","Incidence","7883",20277329
"2004","Black","Male and Female","Female Genital System","Mortality","3301",20277329
"2005","Black","Male and Female","Female Genital System","Incidence","7982",20551032
"2005","Black","Male and Female","Female Genital System","Mortality","3307",20551032
"2006","Black","Male and Female","Female Genital System","Incidence","8175",20840468
"2006","Black","Male and Female","Female Genital System","Mortality","3361",20840468
"2007","Black","Male and Female","Female Genital System","Incidence","8546",21142428
"2007","Black","Male and Female","Female Genital System","Mortality","3422",21142428
"2008","Black","Male and Female","Female Genital System","Incidence","8981",21446016
"2008","Black","Male and Female","Female Genital System","Mortality","3450",21446016
"2009","Black","Male and Female","Female Genital System","Incidence","9431",21744516
"2009","Black","Male and Female","Female Genital System","Mortality","3608",21744516
"2010","Black","Male and Female","Female Genital System","Incidence","9558",22030328
"2010","Black","Male and Female","Female Genital System","Mortality","3658",22030328
"2010-2014","Black","Male and Female","Female Genital System","Incidence","50688",112071233
"2010-2014","Black","Male and Female","Female Genital System","Mortality","19803",112745726
"2011","Black","Male and Female","Female Genital System","Incidence","9803",22158629
"2011","Black","Male and Female","Female Genital System","Mortality","3870",22288313
"2012","Black","Male and Female","Female Genital System","Incidence","10235",22547175
"2012","Black","Male and Female","Female Genital System","Mortality","3984",22547175
"2013","Black","Male and Female","Female Genital System","Incidence","10436",22804565
"2013","Black","Male and Female","Female Genital System","Mortality","4035",22804565
"2014","Black","Male and Female","Female Genital System","Incidence","10811",23075345
"2014","Black","Male and Female","Female Genital System","Mortality","4256",23075345
"1999","Black","Male and Female","Floor of Mouth","Incidence","272",34705681
"1999","Black","Male and Female","Floor of Mouth","Mortality","34",36173121
"2000","Black","Male and Female","Floor of Mouth","Incidence","287",35251906
"2000","Black","Male and Female","Floor of Mouth","Mortality","25",36728709
"2001","Black","Male and Female","Floor of Mouth","Incidence","261",36203400
"2001","Black","Male and Female","Floor of Mouth","Mortality","20",37249775
"2002","Black","Male and Female","Floor of Mouth","Incidence","267",36353150
"2002","Black","Male and Female","Floor of Mouth","Mortality","21",37748424
"2003","Black","Male and Female","Floor of Mouth","Incidence","261",38209741
"2003","Black","Male and Female","Floor of Mouth","Mortality","24",38209741
"2004","Black","Male and Female","Floor of Mouth","Incidence","238",38738798
"2004","Black","Male and Female","Floor of Mouth","Mortality","19",38738798
"2005","Black","Male and Female","Floor of Mouth","Incidence","227",39280731
"2005","Black","Male and Female","Floor of Mouth","Mortality","18",39280731
"2006","Black","Male and Female","Floor of Mouth","Incidence","237",39857107
"2006","Black","Male and Female","Floor of Mouth","Mortality","~",39857107
"2007","Black","Male and Female","Floor of Mouth","Incidence","219",40451108
"2007","Black","Male and Female","Floor of Mouth","Mortality","17",40451108
"2008","Black","Male and Female","Floor of Mouth","Incidence","218",41048959
"2008","Black","Male and Female","Floor of Mouth","Mortality","~",41048959
"2009","Black","Male and Female","Floor of Mouth","Incidence","238",41632450
"2009","Black","Male and Female","Floor of Mouth","Mortality","~",41632450
"2010","Black","Male and Female","Floor of Mouth","Incidence","227",42200372
"2010","Black","Male and Female","Floor of Mouth","Mortality","~",42200372
"2010-2014","Black","Male and Female","Floor of Mouth","Incidence","1046",214908633
"2010-2014","Black","Male and Female","Floor of Mouth","Mortality","50",216263790
"2011","Black","Male and Female","Floor of Mouth","Incidence","222",42461848
"2011","Black","Male and Female","Floor of Mouth","Mortality","~",42722897
"2012","Black","Male and Female","Floor of Mouth","Incidence","208",43252304
"2012","Black","Male and Female","Floor of Mouth","Mortality","~",43252304
"2013","Black","Male and Female","Floor of Mouth","Incidence","224",43772123
"2013","Black","Male and Female","Floor of Mouth","Mortality","~",43772123
"2014","Black","Male and Female","Floor of Mouth","Incidence","166",44316094
"2014","Black","Male and Female","Floor of Mouth","Mortality","16",44316094
"1999","Black","Male and Female","Gallbladder","Incidence","308",34705681
"1999","Black","Male and Female","Gallbladder","Mortality","201",36173121
"2000","Black","Male and Female","Gallbladder","Incidence","343",35251906
"2000","Black","Male and Female","Gallbladder","Mortality","190",36728709
"2001","Black","Male and Female","Gallbladder","Incidence","337",36203400
"2001","Black","Male and Female","Gallbladder","Mortality","208",37249775
"2002","Black","Male and Female","Gallbladder","Incidence","337",36353150
"2002","Black","Male and Female","Gallbladder","Mortality","238",37748424
"2003","Black","Male and Female","Gallbladder","Incidence","362",38209741
"2003","Black","Male and Female","Gallbladder","Mortality","177",38209741
"2004","Black","Male and Female","Gallbladder","Incidence","420",38738798
"2004","Black","Male and Female","Gallbladder","Mortality","226",38738798
"2005","Black","Male and Female","Gallbladder","Incidence","394",39280731
"2005","Black","Male and Female","Gallbladder","Mortality","234",39280731
"2006","Black","Male and Female","Gallbladder","Incidence","421",39857107
"2006","Black","Male and Female","Gallbladder","Mortality","229",39857107
"2007","Black","Male and Female","Gallbladder","Incidence","461",40451108
"2007","Black","Male and Female","Gallbladder","Mortality","219",40451108
"2008","Black","Male and Female","Gallbladder","Incidence","491",41048959
"2008","Black","Male and Female","Gallbladder","Mortality","262",41048959
"2009","Black","Male and Female","Gallbladder","Incidence","489",41632450
"2009","Black","Male and Female","Gallbladder","Mortality","263",41632450
"2010","Black","Male and Female","Gallbladder","Incidence","573",42200372
"2010","Black","Male and Female","Gallbladder","Mortality","286",42200372
"2010-2014","Black","Male and Female","Gallbladder","Incidence","3003",214908633
"2010-2014","Black","Male and Female","Gallbladder","Mortality","1535",216263790
"2011","Black","Male and Female","Gallbladder","Incidence","576",42461848
"2011","Black","Male and Female","Gallbladder","Mortality","306",42722897
"2012","Black","Male and Female","Gallbladder","Incidence","565",43252304
"2012","Black","Male and Female","Gallbladder","Mortality","285",43252304
"2013","Black","Male and Female","Gallbladder","Incidence","636",43772123
"2013","Black","Male and Female","Gallbladder","Mortality","329",43772123
"2014","Black","Male and Female","Gallbladder","Incidence","657",44316094
"2014","Black","Male and Female","Gallbladder","Mortality","329",44316094
"1999","Black","Male and Female","Gum and Other Mouth","Incidence","537",34705681
"1999","Black","Male and Female","Gum and Other Mouth","Mortality","140",36173121
"2000","Black","Male and Female","Gum and Other Mouth","Incidence","482",35251906
"2000","Black","Male and Female","Gum and Other Mouth","Mortality","149",36728709
"2001","Black","Male and Female","Gum and Other Mouth","Incidence","480",36203400
"2001","Black","Male and Female","Gum and Other Mouth","Mortality","136",37249775
"2002","Black","Male and Female","Gum and Other Mouth","Incidence","485",36353150
"2002","Black","Male and Female","Gum and Other Mouth","Mortality","132",37748424
"2003","Black","Male and Female","Gum and Other Mouth","Incidence","530",38209741
"2003","Black","Male and Female","Gum and Other Mouth","Mortality","144",38209741
"2004","Black","Male and Female","Gum and Other Mouth","Incidence","508",38738798
"2004","Black","Male and Female","Gum and Other Mouth","Mortality","137",38738798
"2005","Black","Male and Female","Gum and Other Mouth","Incidence","498",39280731
"2005","Black","Male and Female","Gum and Other Mouth","Mortality","126",39280731
"2006","Black","Male and Female","Gum and Other Mouth","Incidence","472",39857107
"2006","Black","Male and Female","Gum and Other Mouth","Mortality","115",39857107
"2007","Black","Male and Female","Gum and Other Mouth","Incidence","552",40451108
"2007","Black","Male and Female","Gum and Other Mouth","Mortality","120",40451108
"2008","Black","Male and Female","Gum and Other Mouth","Incidence","507",41048959
"2008","Black","Male and Female","Gum and Other Mouth","Mortality","127",41048959
"2009","Black","Male and Female","Gum and Other Mouth","Incidence","466",41632450
"2009","Black","Male and Female","Gum and Other Mouth","Mortality","108",41632450
"2010","Black","Male and Female","Gum and Other Mouth","Incidence","538",42200372
"2010","Black","Male and Female","Gum and Other Mouth","Mortality","97",42200372
"2010-2014","Black","Male and Female","Gum and Other Mouth","Incidence","2573",214908633
"2010-2014","Black","Male and Female","Gum and Other Mouth","Mortality","579",216263790
"2011","Black","Male and Female","Gum and Other Mouth","Incidence","507",42461848
"2011","Black","Male and Female","Gum and Other Mouth","Mortality","119",42722897
"2012","Black","Male and Female","Gum and Other Mouth","Incidence","526",43252304
"2012","Black","Male and Female","Gum and Other Mouth","Mortality","118",43252304
"2013","Black","Male and Female","Gum and Other Mouth","Incidence","514",43772123
"2013","Black","Male and Female","Gum and Other Mouth","Mortality","122",43772123
"2014","Black","Male and Female","Gum and Other Mouth","Incidence","496",44316094
"2014","Black","Male and Female","Gum and Other Mouth","Mortality","123",44316094
"1999","Black","Male and Female","Hodgkin Lymphoma","Incidence","790",34705681
"1999","Black","Male and Female","Hodgkin Lymphoma","Mortality","128",36173121
"2000","Black","Male and Female","Hodgkin Lymphoma","Incidence","836",35251906
"2000","Black","Male and Female","Hodgkin Lymphoma","Mortality","110",36728709
"2001","Black","Male and Female","Hodgkin Lymphoma","Incidence","795",36203400
"2001","Black","Male and Female","Hodgkin Lymphoma","Mortality","137",37249775
"2002","Black","Male and Female","Hodgkin Lymphoma","Incidence","854",36353150
"2002","Black","Male and Female","Hodgkin Lymphoma","Mortality","130",37748424
"2003","Black","Male and Female","Hodgkin Lymphoma","Incidence","901",38209741
"2003","Black","Male and Female","Hodgkin Lymphoma","Mortality","120",38209741
"2004","Black","Male and Female","Hodgkin Lymphoma","Incidence","975",38738798
"2004","Black","Male and Female","Hodgkin Lymphoma","Mortality","135",38738798
"2005","Black","Male and Female","Hodgkin Lymphoma","Incidence","1019",39280731
"2005","Black","Male and Female","Hodgkin Lymphoma","Mortality","145",39280731
"2006","Black","Male and Female","Hodgkin Lymphoma","Incidence","959",39857107
"2006","Black","Male and Female","Hodgkin Lymphoma","Mortality","137",39857107
"2007","Black","Male and Female","Hodgkin Lymphoma","Incidence","1003",40451108
"2007","Black","Male and Female","Hodgkin Lymphoma","Mortality","130",40451108
"2008","Black","Male and Female","Hodgkin Lymphoma","Incidence","1097",41048959
"2008","Black","Male and Female","Hodgkin Lymphoma","Mortality","119",41048959
"2009","Black","Male and Female","Hodgkin Lymphoma","Incidence","1077",41632450
"2009","Black","Male and Female","Hodgkin Lymphoma","Mortality","140",41632450
"2010","Black","Male and Female","Hodgkin Lymphoma","Incidence","1116",42200372
"2010","Black","Male and Female","Hodgkin Lymphoma","Mortality","114",42200372
"2010-2014","Black","Male and Female","Hodgkin Lymphoma","Incidence","5633",214908633
"2010-2014","Black","Male and Female","Hodgkin Lymphoma","Mortality","607",216263790
"2011","Black","Male and Female","Hodgkin Lymphoma","Incidence","1146",42461848
"2011","Black","Male and Female","Hodgkin Lymphoma","Mortality","129",42722897
"2012","Black","Male and Female","Hodgkin Lymphoma","Incidence","1115",43252304
"2012","Black","Male and Female","Hodgkin Lymphoma","Mortality","133",43252304
"2013","Black","Male and Female","Hodgkin Lymphoma","Incidence","1142",43772123
"2013","Black","Male and Female","Hodgkin Lymphoma","Mortality","108",43772123
"2014","Black","Male and Female","Hodgkin Lymphoma","Incidence","1132",44316094
"2014","Black","Male and Female","Hodgkin Lymphoma","Mortality","123",44316094
"1999","Black","Male and Female","Hypopharynx","Incidence","377",34705681
"1999","Black","Male and Female","Hypopharynx","Mortality","67",36173121
"2000","Black","Male and Female","Hypopharynx","Incidence","372",35251906
"2000","Black","Male and Female","Hypopharynx","Mortality","68",36728709
"2001","Black","Male and Female","Hypopharynx","Incidence","362",36203400
"2001","Black","Male and Female","Hypopharynx","Mortality","55",37249775
"2002","Black","Male and Female","Hypopharynx","Incidence","360",36353150
"2002","Black","Male and Female","Hypopharynx","Mortality","49",37748424
"2003","Black","Male and Female","Hypopharynx","Incidence","434",38209741
"2003","Black","Male and Female","Hypopharynx","Mortality","56",38209741
"2004","Black","Male and Female","Hypopharynx","Incidence","398",38738798
"2004","Black","Male and Female","Hypopharynx","Mortality","70",38738798
"2005","Black","Male and Female","Hypopharynx","Incidence","387",39280731
"2005","Black","Male and Female","Hypopharynx","Mortality","54",39280731
"2006","Black","Male and Female","Hypopharynx","Incidence","359",39857107
"2006","Black","Male and Female","Hypopharynx","Mortality","56",39857107
"2007","Black","Male and Female","Hypopharynx","Incidence","415",40451108
"2007","Black","Male and Female","Hypopharynx","Mortality","50",40451108
"2008","Black","Male and Female","Hypopharynx","Incidence","370",41048959
"2008","Black","Male and Female","Hypopharynx","Mortality","50",41048959
"2009","Black","Male and Female","Hypopharynx","Incidence","372",41632450
"2009","Black","Male and Female","Hypopharynx","Mortality","42",41632450
"2010","Black","Male and Female","Hypopharynx","Incidence","369",42200372
"2010","Black","Male and Female","Hypopharynx","Mortality","65",42200372
"2010-2014","Black","Male and Female","Hypopharynx","Incidence","1825",214908633
"2010-2014","Black","Male and Female","Hypopharynx","Mortality","315",216263790
"2011","Black","Male and Female","Hypopharynx","Incidence","363",42461848
"2011","Black","Male and Female","Hypopharynx","Mortality","61",42722897
"2012","Black","Male and Female","Hypopharynx","Incidence","392",43252304
"2012","Black","Male and Female","Hypopharynx","Mortality","50",43252304
"2013","Black","Male and Female","Hypopharynx","Incidence","365",43772123
"2013","Black","Male and Female","Hypopharynx","Mortality","70",43772123
"2014","Black","Male and Female","Hypopharynx","Incidence","338",44316094
"2014","Black","Male and Female","Hypopharynx","Mortality","69",44316094
"1999","Black","Male and Female","Kaposi Sarcoma","Incidence","389",34705681
"1999","Black","Male and Female","Kaposi Sarcoma","Mortality",".",36173121
"2000","Black","Male and Female","Kaposi Sarcoma","Incidence","380",35251906
"2000","Black","Male and Female","Kaposi Sarcoma","Mortality",".",36728709
"2001","Black","Male and Female","Kaposi Sarcoma","Incidence","380",36203400
"2001","Black","Male and Female","Kaposi Sarcoma","Mortality",".",37249775
"2002","Black","Male and Female","Kaposi Sarcoma","Incidence","349",36353150
"2002","Black","Male and Female","Kaposi Sarcoma","Mortality",".",37748424
"2003","Black","Male and Female","Kaposi Sarcoma","Incidence","380",38209741
"2003","Black","Male and Female","Kaposi Sarcoma","Mortality",".",38209741
"2004","Black","Male and Female","Kaposi Sarcoma","Incidence","344",38738798
"2004","Black","Male and Female","Kaposi Sarcoma","Mortality",".",38738798
"2005","Black","Male and Female","Kaposi Sarcoma","Incidence","388",39280731
"2005","Black","Male and Female","Kaposi Sarcoma","Mortality",".",39280731
"2006","Black","Male and Female","Kaposi Sarcoma","Incidence","360",39857107
"2006","Black","Male and Female","Kaposi Sarcoma","Mortality",".",39857107
"2007","Black","Male and Female","Kaposi Sarcoma","Incidence","373",40451108
"2007","Black","Male and Female","Kaposi Sarcoma","Mortality",".",40451108
"2008","Black","Male and Female","Kaposi Sarcoma","Incidence","344",41048959
"2008","Black","Male and Female","Kaposi Sarcoma","Mortality",".",41048959
"2009","Black","Male and Female","Kaposi Sarcoma","Incidence","336",41632450
"2009","Black","Male and Female","Kaposi Sarcoma","Mortality",".",41632450
"2010","Black","Male and Female","Kaposi Sarcoma","Incidence","345",42200372
"2010","Black","Male and Female","Kaposi Sarcoma","Mortality",".",42200372
"2010-2014","Black","Male and Female","Kaposi Sarcoma","Incidence","1669",214908633
"2010-2014","Black","Male and Female","Kaposi Sarcoma","Mortality",".",216263790
"2011","Black","Male and Female","Kaposi Sarcoma","Incidence","362",42461848
"2011","Black","Male and Female","Kaposi Sarcoma","Mortality",".",42722897
"2012","Black","Male and Female","Kaposi Sarcoma","Incidence","337",43252304
"2012","Black","Male and Female","Kaposi Sarcoma","Mortality",".",43252304
"2013","Black","Male and Female","Kaposi Sarcoma","Incidence","301",43772123
"2013","Black","Male and Female","Kaposi Sarcoma","Mortality",".",43772123
"2014","Black","Male and Female","Kaposi Sarcoma","Incidence","330",44316094
"2014","Black","Male and Female","Kaposi Sarcoma","Mortality",".",44316094
"1999","Black","Male and Female","Kidney and Renal Pelvis","Incidence","3152",34705681
"1999","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1035",36173121
"2000","Black","Male and Female","Kidney and Renal Pelvis","Incidence","3426",35251906
"2000","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1044",36728709
"2001","Black","Male and Female","Kidney and Renal Pelvis","Incidence","3647",36203400
"2001","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1113",37249775
"2002","Black","Male and Female","Kidney and Renal Pelvis","Incidence","3906",36353150
"2002","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1069",37748424
"2003","Black","Male and Female","Kidney and Renal Pelvis","Incidence","4262",38209741
"2003","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1116",38209741
"2004","Black","Male and Female","Kidney and Renal Pelvis","Incidence","4492",38738798
"2004","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1091",38738798
"2005","Black","Male and Female","Kidney and Renal Pelvis","Incidence","4977",39280731
"2005","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1155",39280731
"2006","Black","Male and Female","Kidney and Renal Pelvis","Incidence","5087",39857107
"2006","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1138",39857107
"2007","Black","Male and Female","Kidney and Renal Pelvis","Incidence","5647",40451108
"2007","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1222",40451108
"2008","Black","Male and Female","Kidney and Renal Pelvis","Incidence","5947",41048959
"2008","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1203",41048959
"2009","Black","Male and Female","Kidney and Renal Pelvis","Incidence","6196",41632450
"2009","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1268",41632450
"2010","Black","Male and Female","Kidney and Renal Pelvis","Incidence","6181",42200372
"2010","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1185",42200372
"2010-2014","Black","Male and Female","Kidney and Renal Pelvis","Incidence","33396",214908633
"2010-2014","Black","Male and Female","Kidney and Renal Pelvis","Mortality","6369",216263790
"2011","Black","Male and Female","Kidney and Renal Pelvis","Incidence","6500",42461848
"2011","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1281",42722897
"2012","Black","Male and Female","Kidney and Renal Pelvis","Incidence","6622",43252304
"2012","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1267",43252304
"2013","Black","Male and Female","Kidney and Renal Pelvis","Incidence","7007",43772123
"2013","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1260",43772123
"2014","Black","Male and Female","Kidney and Renal Pelvis","Incidence","7207",44316094
"2014","Black","Male and Female","Kidney and Renal Pelvis","Mortality","1376",44316094
"1999","Black","Male and Female","Larynx","Incidence","1690",34705681
"1999","Black","Male and Female","Larynx","Mortality","663",36173121
"2000","Black","Male and Female","Larynx","Incidence","1677",35251906
"2000","Black","Male and Female","Larynx","Mortality","719",36728709
"2001","Black","Male and Female","Larynx","Incidence","1674",36203400
"2001","Black","Male and Female","Larynx","Mortality","678",37249775
"2002","Black","Male and Female","Larynx","Incidence","1663",36353150
"2002","Black","Male and Female","Larynx","Mortality","674",37748424
"2003","Black","Male and Female","Larynx","Incidence","1766",38209741
"2003","Black","Male and Female","Larynx","Mortality","693",38209741
"2004","Black","Male and Female","Larynx","Incidence","1819",38738798
"2004","Black","Male and Female","Larynx","Mortality","638",38738798
"2005","Black","Male and Female","Larynx","Incidence","1749",39280731
"2005","Black","Male and Female","Larynx","Mortality","680",39280731
"2006","Black","Male and Female","Larynx","Incidence","1753",39857107
"2006","Black","Male and Female","Larynx","Mortality","635",39857107
"2007","Black","Male and Female","Larynx","Incidence","1798",40451108
"2007","Black","Male and Female","Larynx","Mortality","659",40451108
"2008","Black","Male and Female","Larynx","Incidence","1775",41048959
"2008","Black","Male and Female","Larynx","Mortality","645",41048959
"2009","Black","Male and Female","Larynx","Incidence","1784",41632450
"2009","Black","Male and Female","Larynx","Mortality","626",41632450
"2010","Black","Male and Female","Larynx","Incidence","1805",42200372
"2010","Black","Male and Female","Larynx","Mortality","613",42200372
"2010-2014","Black","Male and Female","Larynx","Incidence","8751",214908633
"2010-2014","Black","Male and Female","Larynx","Mortality","3130",216263790
"2011","Black","Male and Female","Larynx","Incidence","1740",42461848
"2011","Black","Male and Female","Larynx","Mortality","655",42722897
"2012","Black","Male and Female","Larynx","Incidence","1738",43252304
"2012","Black","Male and Female","Larynx","Mortality","628",43252304
"2013","Black","Male and Female","Larynx","Incidence","1704",43772123
"2013","Black","Male and Female","Larynx","Mortality","599",43772123
"2014","Black","Male and Female","Larynx","Incidence","1791",44316094
"2014","Black","Male and Female","Larynx","Mortality","635",44316094
"1999","Black","Male and Female","Leukemias","Incidence","2521",34705681
"1999","Black","Male and Female","Leukemias","Mortality","1719",36173121
"2000","Black","Male and Female","Leukemias","Incidence","2706",35251906
"2000","Black","Male and Female","Leukemias","Mortality","1753",36728709
"2001","Black","Male and Female","Leukemias","Incidence","2830",36203400
"2001","Black","Male and Female","Leukemias","Mortality","1783",37249775
"2002","Black","Male and Female","Leukemias","Incidence","2741",36353150
"2002","Black","Male and Female","Leukemias","Mortality","1785",37748424
"2003","Black","Male and Female","Leukemias","Incidence","2990",38209741
"2003","Black","Male and Female","Leukemias","Mortality","1771",38209741
"2004","Black","Male and Female","Leukemias","Incidence","3156",38738798
"2004","Black","Male and Female","Leukemias","Mortality","1874",38738798
"2005","Black","Male and Female","Leukemias","Incidence","3090",39280731
"2005","Black","Male and Female","Leukemias","Mortality","1736",39280731
"2006","Black","Male and Female","Leukemias","Incidence","3153",39857107
"2006","Black","Male and Female","Leukemias","Mortality","1815",39857107
"2007","Black","Male and Female","Leukemias","Incidence","3233",40451108
"2007","Black","Male and Female","Leukemias","Mortality","1847",40451108
"2008","Black","Male and Female","Leukemias","Incidence","3349",41048959
"2008","Black","Male and Female","Leukemias","Mortality","1923",41048959
"2009","Black","Male and Female","Leukemias","Incidence","3445",41632450
"2009","Black","Male and Female","Leukemias","Mortality","1879",41632450
"2010","Black","Male and Female","Leukemias","Incidence","3714",42200372
"2010","Black","Male and Female","Leukemias","Mortality","1841",42200372
"2010-2014","Black","Male and Female","Leukemias","Incidence","19528",214908633
"2010-2014","Black","Male and Female","Leukemias","Mortality","9750",216263790
"2011","Black","Male and Female","Leukemias","Incidence","3864",42461848
"2011","Black","Male and Female","Leukemias","Mortality","1977",42722897
"2012","Black","Male and Female","Leukemias","Incidence","4065",43252304
"2012","Black","Male and Female","Leukemias","Mortality","1965",43252304
"2013","Black","Male and Female","Leukemias","Incidence","3958",43772123
"2013","Black","Male and Female","Leukemias","Mortality","1987",43772123
"2014","Black","Male and Female","Leukemias","Incidence","4008",44316094
"2014","Black","Male and Female","Leukemias","Mortality","1980",44316094
"1999","Black","Male and Female","Lip","Incidence","19",34705681
"1999","Black","Male and Female","Lip","Mortality","~",36173121
"2000","Black","Male and Female","Lip","Incidence","32",35251906
"2000","Black","Male and Female","Lip","Mortality","~",36728709
"2001","Black","Male and Female","Lip","Incidence","26",36203400
"2001","Black","Male and Female","Lip","Mortality","~",37249775
"2002","Black","Male and Female","Lip","Incidence","31",36353150
"2002","Black","Male and Female","Lip","Mortality","~",37748424
"2003","Black","Male and Female","Lip","Incidence","29",38209741
"2003","Black","Male and Female","Lip","Mortality","~",38209741
"2004","Black","Male and Female","Lip","Incidence","29",38738798
"2004","Black","Male and Female","Lip","Mortality","~",38738798
"2005","Black","Male and Female","Lip","Incidence","25",39280731
"2005","Black","Male and Female","Lip","Mortality","~",39280731
"2006","Black","Male and Female","Lip","Incidence","24",39857107
"2006","Black","Male and Female","Lip","Mortality","~",39857107
"2007","Black","Male and Female","Lip","Incidence","27",40451108
"2007","Black","Male and Female","Lip","Mortality","~",40451108
"2008","Black","Male and Female","Lip","Incidence","29",41048959
"2008","Black","Male and Female","Lip","Mortality","~",41048959
"2009","Black","Male and Female","Lip","Incidence","31",41632450
"2009","Black","Male and Female","Lip","Mortality","~",41632450
"2010","Black","Male and Female","Lip","Incidence","33",42200372
"2010","Black","Male and Female","Lip","Mortality","~",42200372
"2010-2014","Black","Male and Female","Lip","Incidence","159",214908633
"2010-2014","Black","Male and Female","Lip","Mortality","~",216263790
"2011","Black","Male and Female","Lip","Incidence","27",42461848
"2011","Black","Male and Female","Lip","Mortality","~",42722897
"2012","Black","Male and Female","Lip","Incidence","43",43252304
"2012","Black","Male and Female","Lip","Mortality","~",43252304
"2013","Black","Male and Female","Lip","Incidence","26",43772123
"2013","Black","Male and Female","Lip","Mortality","~",43772123
"2014","Black","Male and Female","Lip","Incidence","31",44316094
"2014","Black","Male and Female","Lip","Mortality","~",44316094
"1999","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","1491",34705681
"1999","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","1507",36173121
"2000","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","1639",35251906
"2000","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","1598",36728709
"2001","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","1741",36203400
"2001","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","1670",37249775
"2002","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","1873",36353150
"2002","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","1734",37748424
"2003","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","2107",38209741
"2003","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","1877",38209741
"2004","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","2394",38738798
"2004","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2014",38738798
"2005","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","2563",39280731
"2005","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2117",39280731
"2006","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","2616",39857107
"2006","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2187",39857107
"2007","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","3054",40451108
"2007","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2264",40451108
"2008","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","3314",41048959
"2008","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2466",41048959
"2009","Black","Male and Female","Liver and Intrahepatic Bile Duct","Incidence","3687",41632450
"2009","Black","Male and Female","Liver and Intrahepatic Bile Duct","Mortality","2726",41632450
